"iteration","app_name","categoryId","reviewId","sentenceId","at","score","feature","review","sentence","Joy","Trust","Fear","Surprise","Sadness","Disgust","Anger","Anticipation","Neutral","Reject"
"iteration_5","Weather Radar Widget","WEATHER","b5623183-89ba-42ec-bf86-a5aabc4e2594","1","Jun 18, 2022","1","f_20","Failed to work. Java error","Java error","0","0","0","0","1","0","0","0","0","0"
"iteration_5","Remind Me - Notif Reminder","PRODUCTIVITY","82db5652-98f0-4aa9-9c54-3b986374e991","1","Aug 11, 2022","5","f_330","Perfect reminder app! The interface is so clean, no subscriptions and an option to remove all ads. I love the concept. I wish it was able to follow system theme to automatically switch from light mode to dark mode.","The interface is so clean, no subscriptions and an option to remove all ads.","1","0","0","0","0","0","0","0","0","0"
"iteration_5","WAMR - Recover deleted message","COMMUNICATION","c64fd59d-abd6-4d60-bd7f-3342ab6a03e5","0","May 16, 2022","3","f_117","Very helpful to recover messages","Very helpful to recover messages","1","0","0","0","0","0","0","0","0","0"
"iteration_5","Bills Reminder","PRODUCTIVITY","eac62907-d5d5-46f0-af1b-240a1c70cd66","0","Mar 10, 2019","2","f_321","I created a backup file transferred over to new phone via email but after restoring nothing gets restore.","I created a backup file transferred over to new phone via email but after restoring nothing gets restore.","0","0","0","0","1","0","0","0","0","0"
"iteration_5","Boosted Time Tracker","PRODUCTIVITY","dc1a25a0-e68a-4503-8580-a77e2f13b772","1","Jul 27, 2021","5","f_424","Good app to monitor your daily task with timeline. In Record section, task name, date, time start, time end, could you add - comment section to add further details of individual task or followup","In Record section, task name, date, time start, time end, could you add - comment section to add further details of individual task or followup","0","0","0","0","0","0","0","1","0","0"
"iteration_5","Clock","TOOLS","eae62ba6-47e0-4cfa-8f84-dc135d5909f2","0","Jul 31, 2022","1","f_64","Super limited control over alarm settings, can't mass delete alarms or set one time alarms, and settings alarms in the first place is much more tedious than it should be. The timer function is nice, but otherwise this app is severely disappointing for a basic android essential.","Super limited control over alarm settings, can't mass delete alarms or set one time alarms, and settings alarms in the first place is much more tedious than it should be.","0","0","0","0","1","0","0","0","0","0"
"iteration_5","Ratio: Productivity Homescreen","PRODUCTIVITY","ff0b465c-7e16-4f16-b505-283d902867d9","0","Aug 25, 2022","2","f_126","80€ for lifetime access for a buggy launcher lmao. Get real guys.","80€ for lifetime access for a buggy launcher lmao.","0","0","0","0","0","1","0","0","0","0"
"iteration_5","Samsung Notes","PRODUCTIVITY","ff321da3-2fdd-4153-84d0-be9ee4995938","0","Sep 09, 2022","2","f_259","it's missing a lot of features that if exists will make it better such as hyperlink","it's missing a lot of features that if exists will make it better such as hyperlink","0","0","0","0","0","0","0","1","0","0"
"iteration_5","Clock","TOOLS","9586bc38-54d8-4f82-baa2-2ad2987d500a","0","Sep 12, 2022","1","f_236","Why can't we have the option to remove the day and date on the digital clock widget? This is causing me to have the day and date TWICE on my home screen, in this app and in the At A Glance widget. Neither will allow me to turn it off. I've been asking for this for over FIVE YEARS!! Originally posted this comment in January. It's now September and NOTHING FROM GOOGLE! No response, no comment, NOTHING! WHEN IS GOOGLE GOING TO FIX THIS VERY STUPID OVERSIGHT!?","Why can't we have the option to remove the day and date on the digital clock widget?","0","0","0","0","0","0","0","1","0","0"
"iteration_5","Focus To-Do: Pomodoro & Tasks","PRODUCTIVITY","f8aeeaac-16e2-4e0c-b000-cc643f48e219","0","Sep 03, 2022","3","f_109","No calendar sync","No calendar sync","0","0","0","0","1","0","0","0","0","0"
"iteration_5","Speedometer, Distance Meter","MAPS_AND_NAVIGATION","6864772c-7011-455b-8de5-e3250b4e5d26","0","May 22, 2021","5","f_506","Very good application for running","Very good application for running","1","0","0","0","0","0","0","0","0","0"
"iteration_5","Notepad – Notes and Checklists","TOOLS","eccbf21d-1d43-448e-93ce-dcf300abe943","0","Sep 01, 2022","1","f_133","I don't need this app recording my phone call info! Even when denied permissions there is no way to stop it! The pop ups are super irritating. Remove this function or allow us to turn it off in the settings. EVERY smart phone on earth has this function built in the useless redundancy tells me it's for your team to record and sell out personal data. Uninstalling","I don't need this app recording my phone call info!","0","0","0","0","0","1","0","0","0","0"
"iteration_5","Productive - Habit tracker","PRODUCTIVITY","9e4b8e57-7c1d-4ccf-ba81-7445c15e9005","1","Dec 01, 2020","5","f_471","This is my frist time leaving a review because this app is exactly what I'm looking for right now in life. Beautiful graphics, clever tactile UI and community based challenges to always keep you engaged. I haven't been this excited about an app in a long time.","Beautiful graphics, clever tactile UI and community based challenges to always keep you engaged.","1","0","0","0","0","0","0","0","0","0"
