Emotion,Accuracy,Precision,Recall,F1
Joy,0.8129496402877698,0.7369942196531792,0.6854838709677419,0.7103064066852368
Sadness,0.887589928057554,0.8248175182481752,0.7458745874587459,0.7833622183708839
Anticipation,0.9442446043165468,0.7857142857142857,0.9065934065934066,0.8418367346938775
Trust,0.9046762589928058,0.7090909090909091,0.5131578947368421,0.5954198473282443
Neutral,0.9172661870503597,0.48148148148148145,0.5909090909090909,0.5306122448979592
Surprise,0.9469424460431655,0.41379310344827586,0.2222222222222222,0.2891566265060241
Disgust,0.9487410071942446,0.42857142857142855,0.42,0.42424242424242425
Anger,0.9631294964028777,0.3541666666666667,0.6296296296296297,0.4533333333333333
Fear,0.9739208633093526,0.38095238095238093,0.3333333333333333,0.35555555555555557
Reject,0.9946043165467626,0.9444444444444444,0.7727272727272727,0.85
Weighted Average,0.9294064748201439,0.6060026438271228,0.5819931308578286,0.5833825391613539
Non-weighted Average,0.9294064748201439,0.8294346407575615,0.8156043413943649,0.8223089330961542
