Emotion,Accuracy,Precision,Recall,F1
Joy,0.8111510791366906,0.7382352941176471,0.6747311827956989,0.7050561797752809
Sadness,0.8893884892086331,0.8103448275862069,0.7755775577557755,0.7925801011804384
Anticipation,0.9361510791366906,0.7488789237668162,0.9175824175824175,0.8246913580246914
Trust,0.9001798561151079,0.6722689075630253,0.5263157894736842,0.5904059040590406
Neutral,0.8821942446043165,0.3576158940397351,0.6136363636363636,0.45188284518828453
Surprise,0.9307553956834532,0.27450980392156865,0.25925925925925924,0.26666666666666666
Disgust,0.9442446043165468,0.34210526315789475,0.26,0.29545454545454547
Anger,0.9586330935251799,0.32075471698113206,0.6296296296296297,0.425
Fear,0.9757194244604317,0.4482758620689655,0.5416666666666666,0.49056603773584906
Reject,0.9964028776978417,1.0,0.8181818181818182,0.9
Weighted Average,0.9224820143884891,0.5712989493202991,0.6016580684981314,0.5742303638084797
Non-weighted Average,0.9224820143884892,0.8075028349182349,0.8154526330290237,0.8114039550897187
