"iteration","app_name","categoryId","reviewId","sentenceId","at","score","feature","review","sentence","Joy","Trust","Fear","Surprise","Sadness","Disgust","Anger","Anticipation","Neutral","Reject"
"iteration_13","Fabulous Daily Routine Planner","HEALTH_AND_FITNESS","336abbda-a3c7-4ab5-8ca9-c3cff85eac14","0","Jul 20, 2022","5","f_498","Great app with gamification and great story to track with every day you achieve your better self","Great app with gamification and great story to track with every day you achieve your better self","1","0","0","0","0","0","0","0","0","0"
"iteration_13","To Do Lists & Tasks - When.Do","PRODUCTIVITY","fdf2f057-651b-4619-a4e3-9097c952866e","1","Oct 08, 2021","5","f_110","Really simple and uncomplicated way of viewing Google tasks on the phone. I paid the modest fee for premium service and can set up recurring tasks as easily as I can in Outlook. Win-win!","I paid the modest fee for premium service and can set up recurring tasks as easily as I can in Outlook.","0","1","0","0","0","0","0","0","0","0"
"iteration_13","Squid: Take Notes, Markup PDFs","PRODUCTIVITY","99026f0b-efb3-4933-a170-450b79ed08c8","9","Apr 16, 2022","3","f_56","Good: -It works well, and the interface is nice. -It is also very nice to be able set it up to erase with your finger (after taking notes with your stylus wacom or active based). It is relatively easy to export to jpg or locally to the device or google drive. -There is a cast button that lets you cast to google devices... like nest hubs and chrome cast... I have not tried in the office with Google Meet conference hardware, but will update when I do. -They don't have their own weird cloud. This app is standalone and does not need an account with whoever devs Squid. -You can lasso inserted photos and move them Bad: -The erase with your finger option is negated by the fact that when the palm rejection doesn't work (which happens often), ends up erasing your notes (I guess this is more problematic for me since I am left handed). I had to turn it off. -There is no option to auto backup to Google Drive or OneDrive. This is particularly upsetting, because unless you remember to manually backup, you may lose your device and your notes. To do that you would have to use Dropbox or Box (i am not about to get another service just for this app). Also, given that those two are the most popular cloud services for business, it makes it impossible for me to propose the adoption of this app at work. -This app is subscription based. Premium features cost per month/year... not single purchase like INKredible. I guess you can buy features one at a time, but that doesn't seem like a good idea to me. I am still on the fence of which app to keep.","-There is no option to auto backup to Google Drive or OneDrive.","0","0","0","0","1","0","0","0","0","0"
"iteration_13","Calendar Notify - Widget, Lock","PRODUCTIVITY","a0f57435-adc8-4eaa-aeb2-5c9a424d8dca","0","Jun 21, 2021","5","f_96","Having my upcoming calendar on the lock screen makes sure I don't forget appointments.","Having my upcoming calendar on the lock screen makes sure I don't forget appointments.","0","1","0","0","0","0","0","0","0","0"
"iteration_13","Buttocks Workout - Fitness App","HEALTH_AND_FITNESS","8d528b76-988f-4667-ba7d-60cfb81b108f","0","Jul 30, 2022","5","f_64","I haven't did any exercise in such a very long time and was reluctant to start with this app but after doing the exercises I fii very safe to do them and the exercises aren't to bad for an old timer like me I give it a five 👍 up","I haven't did any exercise in such a very long time and was reluctant to start with this app but after doing the exercises I fii very safe to do them and the exercises aren't to bad for an old timer like me I give it a five 👍 up","1","1","0","0","0","0","0","0","0","0"
"iteration_13","Tasks","PRODUCTIVITY","ff1f290b-a35b-4b8b-9050-460ff2980f21","1","Sep 23, 2021","5","f_22","How very excellent! PROS: || No ads! || Checklists within tasks || Very lightweight || Straightforward and simple design || Reminders || No-fuss implementation of E-Matrix || CONS: Lack of sync. Exactly what I needed, but I wish there were SYNC between 2 android devices, at least. I want to use this app as my primary ToDo app, but only the lack of sync is forcing me to use it as a secondary ToDo (and I've to manually type back and forth between AnyDo and ToDo, lol) Ah, but I'm nitpicking. :D","PROS: ||","0","0","0","0","0","0","0","0","1","0"
"iteration_13","WAMR - Recover deleted message","COMMUNICATION","f9d45d8e-b195-4b98-a29c-488c34b87129","1","Sep 10, 2022","3","f_117","Only showing deleted media. Deleted messages are not being shown.","Deleted messages are not being shown.","0","0","0","0","1","0","0","0","0","0"
"iteration_13","Instagram","SOCIAL","bf86f3df-0396-4442-879c-94180bb1cc61","0","Sep 14, 2022","4","f_47","Voice messages frequently stop working, the rest is fine","Voice messages frequently stop working, the rest is fine","0","0","0","0","1","0","0","0","0","0"
"iteration_13","EPA's AIRNow","HEALTH_AND_FITNESS","48ffb6f9-f67c-4828-a318-92ccd48391a0","1","Aug 05, 2021","1","f_286","This app doesn't work, it says the air quality data is not available for any major city. I'm using AirVisual app instead, which shows all of Airnow sensors and thousands of other sensors from community members. Airnow has been wasting tax payer money when we actually need them right now in California. Why do we need to rely on private companies to give us that critical air pollution data??? That should be the job of the government!","I'm using AirVisual app instead, which shows all of Airnow sensors and thousands of other sensors from community members.","0","0","0","0","0","1","1","0","0","0"
"iteration_13","ColorNote Notepad Notes","PRODUCTIVITY","51c8456d-a25a-4a07-ad2a-8171bfb1317f","0","May 31, 2022","5","f_257","I have been using it for many years and I love it, especially I am able to save my documents with password and sync across devices. Most importantly it's ad free😀😁.","I have been using it for many years and I love it, especially I am able to save my documents with password and sync across devices.","1","1","0","0","0","0","0","0","0","0"
"iteration_13","Squid: Take Notes, Markup PDFs","PRODUCTIVITY","38f74a15-3049-4ca6-8bc7-aca81fe09009","2","Dec 31, 2021","4","f_259","Almost perfect but it's just not there. Got the app to do digital planning. Paid for the subscription so I could upload the pdf planner I bought and after I got it in, that's when I found out that Squid does not support hyperlinks within the document. It's a 772 pg planner so it's absolutely worthless without the hyperlinks to help navigate. Had to go to another less awesome app just for that feature. Please fix!!","Paid for the subscription so I could upload the pdf planner I bought and after I got it in, that's when I found out that Squid does not support hyperlinks within the document.","0","0","0","0","1","0","0","0","0","0"
"iteration_13","Water Drink Reminder","HEALTH_AND_FITNESS","948c7e45-d006-4826-a2b6-8f7430fe5eeb","1","May 18, 2022","5","f_210","Been using this app for years and have never had a problem. Customizable, on time reminders, never glitches. Highly recommend","Customizable, on time reminders, never glitches.","1","1","0","0","0","0","0","0","0","0"
"iteration_13","Google Admin","PRODUCTIVITY","476dcb98-2d20-4e2d-b83a-2af4b5dc0175","0","Jun 02, 2022","1","f_20","Could not sign in on the app, apparently it's not Java supported for Android.","Could not sign in on the app, apparently it's not Java supported for Android.","0","0","0","0","1","0","0","0","0","0"
"iteration_13","Kik — Messaging & Chat App","COMMUNICATION","f9265b26-50b7-4f98-852d-0756288adad5","0","Sep 03, 2022","2","f_235","Great for online privacy but advertising via pop-ups, very annoying for a ""free"" communication app, that's why I uninstalled it.","Great for online privacy but advertising via pop-ups, very annoying for a ""free"" communication app, that's why I uninstalled it.","0","0","0","0","0","1","1","0","0","0"
"iteration_13","Couch to 5K by RunDouble","HEALTH_AND_FITNESS","7e69f934-fb99-4be2-896d-5222675dab1b","0","Sep 03, 2022","2","f_164","*revised* the app stopped finding gps a few years ago and is no longer very useful. It is not my phone or signal, i habe no issued with gps on anything else. Time to find a new app. I have always hated running but love the outdoors. This app has made me a running fanatic. I love the solitude and fresh air. It eases you in so you don't even realize what you're doing!","*revised* the app stopped finding gps a few years ago and is no longer very useful.","0","0","0","0","1","0","0","0","0","0"
"iteration_13","Lookout - Assisted vision","PRODUCTIVITY","d89b2357-96e8-4089-8ebf-d1d3c88758b0","0","Jun 20, 2022","4","f_261","Thank you developers it is working well, compare to other OCR apps it is working verry accurately definitely it is artificial Eye for me, one more please add auto language deduction, Kannada language and PDF reader, this is humble Request, finally allow to join beta version","Thank you developers it is working well, compare to other OCR apps it is working verry accurately definitely it is artificial Eye for me, one more please add auto language deduction, Kannada language and PDF reader, this is humble Request, finally allow to join beta version","1","1","0","0","0","0","0","1","0","0"
"iteration_13","Messenger","COMMUNICATION","77cb9bf4-3443-4656-951c-2c522e775b25","0","Sep 15, 2022","2","f_130","It was a good app but in my group chat i cant send message! Pls fix it","It was a good app but in my group chat i cant send message!","0","0","0","0","1","0","0","0","0","0"
"iteration_13","WhatsApp Messenger","COMMUNICATION","629a1e06-bef1-4acf-88b0-17dce904a788","2","Sep 14, 2022","1","f_133","Every time i sent a video to someone the audio dissappear from the video. / We SHOULD be able to disable video or phone call, PLEASEEEE!","We SHOULD be able to disable video or phone call, PLEASEEEE!","0","0","0","0","0","0","0","1","0","0"
"iteration_13","Telegram","COMMUNICATION","76de3559-43f3-4a7a-81db-7c3c65d293dd","0","Sep 11, 2022","5","f_130","Not good for call and media transfer but good in privacy and group chating and chatung","Not good for call and media transfer but good in privacy and group chating and chatung","0","0","0","0","0","0","0","0","0","0"
"iteration_13","Withings Health Mate","HEALTH_AND_FITNESS","79b522f7-c05f-44b7-991e-d444209b29c8","2","Sep 03, 2022","2","f_506","Not a good app. You can't add exercise to the app if Bluetooth wasn't enabled, there is no record of fastest run, bike etc. Only running contributes to the fitness level, and the watch itself is too temperamental not capturing heart rate properly and ECG only works if heart rate above 50. Now looking at the new Samsung which has all the functionality of scanwatch plus GPS","Only running contributes to the fitness level, and the watch itself is too temperamental not capturing heart rate properly and ECG only works if heart rate above 50.","0","0","0","0","1","0","0","0","0","0"
"iteration_13","Telegram","COMMUNICATION","6e0e650e-96d5-4b57-b97f-df4f154512a3","0","Aug 24, 2022","1","f_339","I can't send messages from my telegram account","I can't send messages from my telegram account","0","0","0","0","1","0","0","0","0","0"
