"iteration","app_name","categoryId","reviewId","sentenceId","at","score","feature","review","sentence","Joy","Trust","Fear","Surprise","Sadness","Disgust","Anger","Anticipation","Neutral","Reject"
"iteration_11","Telegram","COMMUNICATION","bc99aae7-c68e-4090-861f-06a50d7ec51c","0","Aug 31, 2022","1","f_339","I hate telegram","I hate telegram","0","0","0","0","0","0","1","0","0","0"
"iteration_11","Boosted Time Tracker","PRODUCTIVITY","7607ed4b-26e1-4ed5-b552-3011871a461b","0","Apr 18, 2022","5","f_497","I really love this app, specially because of graphs and charts, however I think it can be better by adding subtasks or improvement on graphical environment. You can add journal part for projects, etc.","I really love this app, specially because of graphs and charts, however I think it can be better by adding subtasks or improvement on graphical environment.","1","0","0","0","0","0","0","1","0","0"
"iteration_11","Sticker maker","TOOLS","52513b91-fe7d-4f7d-9be4-0179473c0844","1","Apr 13, 2022","2","f_32","Riddled with ads on every sticker pack creation and the process of adding the stickers is cumbersome as there are no batch inputs only singles. Use this app once on your free time to make every sticker pack you could possibly use and then never look back","Use this app once on your free time to make every sticker pack you could possibly use and then never look back","0","0","0","0","0","1","0","0","0","0"
"iteration_11","Huawei Health","HEALTH_AND_FITNESS","7e0482b0-9dbf-45d1-8f52-ed0db27db4d0","0","Mar 19, 2022","1","f_235","If you even think about privacy, don't install this app at all.","If you even think about privacy, don't install this app at all.","0","0","1","0","0","1","0","0","0","0"
"iteration_11","Gmail","COMMUNICATION","6fbd746d-e97b-4c7c-bb31-c4ee48f60034","4","Sep 12, 2022","1","f_52","Fix the damn push notifications. It's already enabled within app info and settings even in individual accounts. I have allowed notifications in every way it was enabled on default yet I still do not receive notifications. No ordinary users should be required to troubleshoot this problem. When it is something as important as an email app you would think that their push notifications is tune to perfection but that's far from the case. Heavily disappointed. Either the app is bugged or AndroidOS.","When it is something as important as an email app you would think that their push notifications is tune to perfection but that's far from the case.","0","0","0","0","1","0","0","0","0","0"
"iteration_11","Simplenote","PRODUCTIVITY","d8bc3a34-30b0-42d1-bf3b-197a42ff3d45","0","Aug 08, 2022","4","f_209","good app - 'simple' and 'note' like its name but has technical flaws, especially network and sync between devices (I use it to sync a note between my Windows PC and this Android phone). I have used this app, kinda, for a long time. The network and sync problems gradually get better but still not 100% perfect so 4 stars from me. maybe 4.5 stars","good app - 'simple' and 'note' like its name but has technical flaws, especially network and sync between devices (I use it to sync a note between my Windows PC and this Android phone).","0","1","0","0","0","0","0","0","0","0"
"iteration_11","Google Play Console","TOOLS","92707371-83ce-4841-bac0-11e26edc1fcc","0","Sep 26, 2019","5","f_169","This app could receiving and sending Blockchain payment in Cryptocurrency and fiat.","This app could receiving and sending Blockchain payment in Cryptocurrency and fiat.","0","0","0","0","0","0","0","0","1","0"
"iteration_11","aTimeLogger - Time Tracker","PRODUCTIVITY","88182a24-1136-4a49-a52e-7b2320109766","10","Aug 30, 2022","5","f_104","Wow. Just downloaded and love it so far. Soooo easy to use. The app that helps tracking but doesn't become an activity on its own. Well done developer. Will use for few days before going to PRO. Would have been nice to have an option to remove the default activities. All my activities are custom. Dont want to track shop, cinema rat and all other default activities 😊. Also to have activities in the list rather than icons so the full name of custom activity can be displayed. Desktop app?","Desktop app?","0","0","0","0","0","0","0","1","0","0"
"iteration_11","True Phone Dialer & Contacts","COMMUNICATION","5b957145-7974-45a1-b98d-acbc66318b9b","0","Jan 28, 2022","1","f_215","Call recording is not proper. It only records one side voice. Not the entire conversation of both caller and receiver.","Call recording is not proper.","0","0","0","0","1","0","0","0","0","0"
"iteration_11","Noisli: Focus and Relax","PRODUCTIVITY","9484fc2d-f15b-4e4c-8e12-61eb42c16f0c","7","Feb 02, 2021","3","f_478","Overall norm, but where is updates? Web version have updates... where updates for this app? New sounds? I own app version and I need purchase web, why? No sync with web version. Web version is monthly billed. Regret to bought it. Take a look on Zenmoney accounting app, they have free and paid version. One pay and you'll get app and web which sync with each other. Frequent updates.","Take a look on Zenmoney accounting app, they have free and paid version.","0","0","0","0","0","0","0","0","1","0"
"iteration_11","Whats Web for WhatsApp","TOOLS","8305be54-f8e6-4a98-876a-ecb075e85858","1","Sep 08, 2022","5","f_488","Great app very useful and helpful. I am satisfied with the high level of performance.","I am satisfied with the high level of performance.","1","1","0","0","0","0","0","0","0","0"
