Emotion,Accuracy,Precision,Recall,F1
Joy,0.8066546762589928,0.7329376854599406,0.6639784946236559,0.6967559943582511
Sadness,0.8812949640287769,0.8202247191011236,0.7227722772277227,0.7684210526315789
Anticipation,0.9406474820143885,0.7871287128712872,0.8736263736263736,0.828125
Trust,0.9028776978417267,0.680327868852459,0.5460526315789473,0.6058394160583942
Neutral,0.9091726618705036,0.44144144144144143,0.5568181818181818,0.49246231155778897
Surprise,0.9442446043165468,0.3333333333333333,0.14814814814814814,0.20512820512820512
Disgust,0.9370503597122302,0.35714285714285715,0.5,0.4166666666666667
Anger,0.9766187050359713,0.52,0.48148148148148145,0.5
Fear,0.9721223021582733,0.3333333333333333,0.2916666666666667,0.3111111111111111
Reject,0.9937050359712231,0.8947368421052632,0.7727272727272727,0.8292682926829268
Weighted Average,0.9264388489208633,0.5900606793641038,0.5557271527898451,0.5653778050194923
Non-weighted Average,0.9264388489208633,0.8226328971991551,0.8057281507268449,0.8138569215193985
