Emotion,Accuracy,Precision,Recall,F1
Joy,0.8075539568345323,0.7323529411764705,0.6693548387096774,0.699438202247191
Sadness,0.8803956834532374,0.8171641791044776,0.7227722772277227,0.7670753064798599
Anticipation,0.9415467625899281,0.7853658536585366,0.8846153846153846,0.8320413436692506
Trust,0.9055755395683454,0.6821705426356589,0.5789473684210527,0.6263345195729537
Neutral,0.9181654676258992,0.4854368932038835,0.5681818181818182,0.5235602094240838
Surprise,0.947841726618705,0.4166666666666667,0.18518518518518517,0.2564102564102564
Disgust,0.9361510791366906,0.352112676056338,0.5,0.4132231404958678
Anger,0.9748201438848921,0.48148148148148145,0.48148148148148145,0.48148148148148145
Fear,0.9721223021582733,0.3157894736842105,0.25,0.27906976744186046
Reject,0.9937050359712231,0.8947368421052632,0.7727272727272727,0.8292682926829268
Weighted Average,0.9277877697841725,0.5963277549772987,0.5613265626549595,0.5707902519905732
Non-weighted Average,0.9277877697841727,0.8257309537709535,0.8102483903606912,0.8177217343870793
