app_name,categoryId,reviewId,sentenceId,at,score,feature,review,sentence,emotion-QM,,emotion-MT,,comments-QM,comments-MT,emotion-primary-agreement,comments-agreement,comments-agreement
Turtl,PRODUCTIVITY,61bfe7a4-c63d-479a-87ba-a727a3ece5a9,2,"Jul 16, 2020",4,Lightweight,I ❤ Turtl. It has never let me down. The software app is lightweight and doesn't require a lot of permissions.,The software app is lightweight and doesn't require a lot of permissions.,Trust,,Trust,,,,Joy,-,
MixNote NotePad Notes,PRODUCTIVITY,c7763205-9bae-47f7-b38f-6007d7bf6177,0,"Apr 18, 2018",4,Cloud Storage,"Very Nice app... but when you guys are going to launche a cloud storage 
facility? And a request....please make the app movable to the SD card","Very Nice app... but when you guys are going to launche a cloud storage 
facility?",Anticipation,,Anticipation,,,"el contrast entre Very nice app / but when... m'ha fet dubtar. 
He decidit anticipation per que considero que te més pes la segona part de la frase",Anticipation,-,
WhatsApp Messenger,COMMUNICATION,9bd6882e-0cf3-45a6-8aaa-d6c247c958af,0,"Sep 13, 2022",5,Privacy Protection,It has advanced privacy protection.,It has advanced privacy protection.,Trust,,Trust,,neutral,,Trust,-,
Boosted Time Tracker,PRODUCTIVITY,09629059-3f4f-4ce3-9a8c-ccc7b30abb40,1,"Jul 13, 2021",5,Subtasks,"Absolutely in love with the ability to create and track multiple projects and tasks within them. Something's I'd have liked to see - get reports of specific projects - ability to add subtasks to tasks But that's no dampner, boosted is really good!",Something's I'd have liked to see - get reports of specific projects - ability to add subtasks to tasks,Anticipation,,Anticipation,,,,Anticipation,-,
Navigation for Google Maps Go,TRAVEL_AND_LOCAL,b0193656-2156-4195-88ba-4fa1fe1c228f,1,"Aug 03, 2022",5,Transparency,"Privately & secure p.a . Transparency prevail the true , more secure and legibility features to featured name places or street. They can do everything you want to know with your legal needs in life with testimony . With God all things are possible. God is the greatest","Transparency prevail the true , more secure and legibility features to featured name places or street.",Trust,,Anticipation,,,"He hagut de llegir la sentence sencera, tampoc he pogut entendré molt bé de que es tractaba. 
Per acabar de guanyar context he llegit el nom de la app.
Per decidir el sentiment he considerat que está proposant millores, per tant anticipation",Trust,Misinterpretation.,
Lose Weight at Home in 30 Days,HEALTH_AND_FITNESS,2942ab0b-3134-4674-a711-79d215256fdc,0,"Jul 13, 2022",5,Planner,It's good and great and it's has a meal planner it's quite helpful. For all struggles to lose weight this app is for you if you don't do the exercises you can't lose the weight of your's,It's good and great and it's has a meal planner it's quite helpful.,Joy,,Trust,,,,Joy,C1,
Couch to 5k & 10k,HEALTH_AND_FITNESS,d72d6508-bdc6-433d-82b4-dd908bee3128,0,"Sep 11, 2020",2,Running,"I find this app frustrating as it has stopped working and not for the first time , today I was on week 7 workout 1 and it stopped working on my 25 minute run so I had to try and gauge myself when to stop, will be using a running watch from now on","I find this app frustrating as it has stopped working and not for the first time , today I was on week 7 workout 1 and it stopped working on my 25 minute run so I had to try and gauge myself when to stop, will be using a running watch from now on",Disgust,,Anger,,,,Disgust,C3,
Any.do - To do list & Calendar,PRODUCTIVITY,5abe1e07-9daa-40af-b8ad-a625ac1e5cec,0,"Jul 30, 2022",3,Planner,3 stars for asking me to rate a planner/task app I installed 1hr ago so I don't know how well it works for a few days minimum before asking for review. Now I won't remember to give a better rating if it's great bc they needed their review ASAP,3 stars for asking me to rate a planner/task app I installed 1hr ago so I don't know how well it works for a few days minimum before asking for review.,Anticipation,,Surprise,,,"No considero que s'hagi enfadat ni disgustat. 
Si no que expresa sorpresa, ja que no s'ho esperava",Surprise,Misinterpretation.,
WhatsApp Messenger,COMMUNICATION,1458f11e-8484-43c6-aa23-fe6a40f239ff,0,"Sep 13, 2022",2,Calls,Video call very slow...video call cut nhi hota h,Video call very slow...video call cut nhi hota h,Sadness,,Disgust,,,,Sadness,C2,
Garmin Smartphone Link,TRAVEL_AND_LOCAL,0fdaf50c-268b-483f-9c16-2843d9405cb6,0,"Oct 18, 2021",1,Memory usage,One huge problem: memory usage - 12 GB of storage used!!! No reason for that as I rarely use the app and have traveled only locally with it. No way to see what the space is used for nor can it be controlled. Other features seemed to work okay though in my part of the world there aren't many traffic alerts to be found. I may reinstall this app if I use it for travel. Otherwise: DELETE until needed. (Used with a Garmin RV 760.),One huge problem: memory usage - 12 GB of storage used!!!,Anger,,Disgust,,,,Anger,C2,
Pomodoro Timer,PRODUCTIVITY,04c790b4-d9f6-4e74-ba55-55411aa119f3,1,"Mar 22, 2022",4,Timer,"Great, straight to the point app I'd give it 5 starts if not for the confusing pause/continue button. But then again, you are not supposed to pause a pomodoro timer, right?","But then again, you are not supposed to pause a pomodoro timer, right?",Surprise,,Anticipation,,,"No es refereix a la aplicació, si no al concepte de el que és un pomodoro timer (frases així no s'haurien de tenir en compte per emotion classification d'una review (?))",Anticipation,C5,
Pomodoro Timer,PRODUCTIVITY,2a4016c8-f8cb-4097-8aac-92a19598d425,0,"Feb 18, 2022",5,Minimalistic,"Minimalistic, but useful app without ads. Reccomend","Minimalistic, but useful app without ads.",Joy,,Trust,,,,Joy,C1,"degut a ""useful"""
Todoist: to-do list & planner,PRODUCTIVITY,10d06b4e-b71d-4cfd-8cea-4cc44d2a41ba,3,"May 31, 2022",4,Workflow,"Overall, very good app. But the latest update made one thing almost impossible - moving a task from project to project. I can't find a way to do that neither from task list nor from task details view. It makes my workflow almost unusable :(",It makes my workflow almost unusable :(,Sadness,,Sadness,,,"pel :(, si no posaria disgust",Sadness,-,
Step Counter - Pedometer King,HEALTH_AND_FITNESS,9c199d29-7212-47b5-b4c1-5a75adc19a2b,1,"Aug 29, 2022",5,Wellness,"I love my new pedometer, it's really easy to use and I've been able to accurately track my steps and calories burned. It has really made a big difference in my health and wellness.",It has really made a big difference in my health and wellness.,Joy,,Trust,,,,Trust,C1,
Simplenote,PRODUCTIVITY,a19db8f8-1ed9-44b3-bfb2-287f0533865e,0,"Jul 21, 2022",5,Note-taking,One of the best note-taking I've tried so far.,One of the best note-taking I've tried so far.,Joy,,Trust,,,,Trust,C1,
Navigation & Maps : shortcut,TOOLS,7f465363-d9d8-4ea8-90c3-cd9ae018d534,0,"Oct 24, 2020",5,GPS Navigation,To learn GPS navigation is my second favorite option,To learn GPS navigation is my second favorite option,Joy,,Trust,,neutral,,Trust,C1,
Meetup: Find events near you,SOCIAL,cd4cc735-f2fb-49bd-911c-4e97cc1f51ae,0,"Sep 14, 2022",3,Rsvp,wanted to go to an event later in the month showed only 3 attendees but rsvp was closed not showing canceled?,wanted to go to an event later in the month showed only 3 attendees but rsvp was closed not showing canceled?,Anticipation,,Surprise,,,"no considero que estigui enfadat, pero no s'ho esperava",Surprise,C5,
Telegram,COMMUNICATION,649dd450-c01f-4756-895b-073c991d5138,2,"Aug 28, 2022",4,Group chat,"It's like a worse version of WhatsApp but at least it's not owned by Meta. I'm constantly being added to crypto scam group chats too. Would give another star if quoting messages was the same as WhatsApp/signal, instead of having to click on message and then select reply","Would give another star if quoting messages was the same as WhatsApp/signal, instead of having to click on message and then select reply",Anticipation,,Disgust,,,No li agrada la feature pero no está molest ni trist,Sadness,C1,
Messages,COMMUNICATION,82d9753a-0d97-4601-89b8-e7520cad6bce,2,"Sep 15, 2022",4,Chat,"Excellent spam control, RCS works except when it doesn't and breaks all communication, excellent UI though it takes a moment to load everytime I open the app. Quality just need improvement. Just that RCS/Chat function has regular failures unfortunately.",Just that RCS/Chat function has regular failures unfortunately.,Sadness,,Disgust,,,"He hagut de llegir tota la review.
Aquest cas em fa pensar que veient que te 4 estrelles la review, realment no  te tanta connotació negativa.",Sadness,C2,
SMS Backup+,TOOLS,00faa31f-1d57-4d11-9bc4-87cd743081fc,2,"Feb 27, 2020",1,Email Server,"Yes, app still works if you use a different (non-gmail) email; but CAUTION!!!! I did exactly that. I set up a new, independent account on MY email server specifically for this app to connect to, to backup my phone SMS/call logs, etc. This was literally the only app/client using this email address; and this app of course knows the password for it. So, after a while my dedicated account was being used to send SPAM and my domain and IP because blacklisted until I figured out it was this account being used to log into my server to send the SPAM. The ONLY explanation is that this app's publisher has a way of gathering non-gmail accounts and passwords and either using them or selling them to SPAMMERS. Perhaps this is one reason why Google won't approve them to use gmail accounts. Anyway, BEWARE!! I suggest you do not use this app.","I set up a new, independent account on MY email server specifically for this app to connect to, to backup my phone SMS/call logs, etc.",Fear,,Trust,,,"La review la calificaria de Fear en general. 
En aquest cas pasa el mateix, que la frase no parla de la app en si (com la frase de la review del pomodoro), no se si te sentit tenir en compte frases aixi per decidir la emoció de una review. 
Com és una cosa seva que considera correcta, decideixo trust",Trust,C1,
Telegram,COMMUNICATION,fafc19a7-2834-45da-b256-e7e8e88c3e7e,0,"Aug 24, 2022",5,File sharing,"Telegram is seriously so flexible, it just makes your life easier. Super easy controls and fast texting features. Easy voice, video and file sharing options. Lots of fun animated stickers. You can even chat with people without sharing your phone number ! The feature that is personally VERY USEFUL for me is ""Saved Messages"". I transfer pictures, videos and files between my Ipad and phone using that feauture and it takes just 5 seconds. Best app ever ! Hope they maintain these standards ❤","Telegram is seriously so flexible, it just makes your life easier.",Joy,,Trust,,,,Joy,C1,
MAPS.ME: Offline maps GPS Nav,TRAVEL_AND_LOCAL,22687959-1d6b-4ddb-a5d5-a9e75c80f79a,1,"Sep 11, 2022",1,Bookmarks,Great idea but continues to be flakey. I have been using it for over seven years and it continues to loose all my bookmarks (now called favourites). I am a full time traveller and cannot trust the app at all now. A years data in favourites lost again. Had such promise but never improves. Avoid.,I have been using it for over seven years and it continues to loose all my bookmarks (now called favourites).,Disgust,,Disgust,,,,Sadness,C1,
Habit Tracker,PRODUCTIVITY,9d32d996-4362-47f6-b9ec-490f1ca76ce5,1,"Nov 11, 2021",5,Habit Tracker,Very helpful. I build new and healthy habits using Habit Tracker.,I build new and healthy habits using Habit Tracker.,Trust,,Trust,,,,Trust,,
WhatsApp Messenger,COMMUNICATION,169a27c8-4a36-4e12-a386-71c28e5807f5,0,"Sep 13, 2022",1,Privacy,Until you change the privacy settings I won't update,Until you change the privacy settings I won't update,Disgust,,Disgust,,,,Disgust,,
Weather Radar Widget,WEATHER,d36a2dde-c745-4710-9044-4e133e7b32f2,2,"Apr 21, 2022",2,Radar,"The widget was the best part of this app becuase no one else did it. The widget hasn't worked in years and they can't seem to fix it. Might as well just call it ""Weather Radar"" and ditch the widget part of the name because its non-functional.","Might as well just call it ""Weather Radar"" and ditch the widget part of the name because its non-functional.",Disgust,,Disgust,,,,Disgust,,
Weather Live - Widgets & Radar,WEATHER,5c9ff790-bb03-4486-a05f-8d6c8133f9ce,0,"Aug 10, 2022",5,Transparency,I like the size options and you can control transparency,I like the size options and you can control transparency,Joy,,Trust,,,,Joy,C1,
