Emotion,Accuracy,Precision,Recall,F1
Joy,0.8075539568345323,0.7296511627906976,0.6747311827956989,0.7011173184357542
Sadness,0.8884892086330936,0.8096885813148789,0.7722772277227723,0.7905405405405406
Anticipation,0.9388489208633094,0.7567567567567568,0.9230769230769231,0.8316831683168316
Trust,0.8974820143884892,0.6583333333333333,0.5197368421052632,0.5808823529411765
Neutral,0.8794964028776978,0.35064935064935066,0.6136363636363636,0.4462809917355372
Surprise,0.9298561151079137,0.2692307692307692,0.25925925925925924,0.2641509433962264
Disgust,0.9424460431654677,0.3055555555555556,0.22,0.2558139534883721
Anger,0.9586330935251799,0.32727272727272727,0.6666666666666666,0.43902439024390244
Fear,0.9748201438848921,0.43333333333333335,0.5416666666666666,0.48148148148148145
Reject,0.9955035971223022,1.0,0.7727272727272727,0.8717948717948718
Weighted Average,0.9213129496402879,0.5640471570237403,0.5963778404656886,0.5662770012374695
Non-weighted Average,0.9213129496402878,0.8044541647937241,0.8137674185597925,0.8090084829480988
