"app_name","categoryId","reviewId","sentenceId","at","score","feature","review","sentence","Joy","Trust","Fear","Surprise","Sadness","Disgust","Anger","Anticipation","Neutral","Reject"
"Sticker maker","TOOLS","6167ab66-3de9-4ec0-9f44-2439811e31c1","0","Jun 18, 2022","1","f_106","Joshi Traders cosmetics and garments whole sale and retail price show room","Joshi Traders cosmetics and garments whole sale and retail price show room","0","0","0","0","0","0","0","0","1","0"
"Samsung Notes","PRODUCTIVITY","51f9b166-78b5-428c-95a0-52511f4bacbf","0","Jul 20, 2022","4","f_42","note organization and viewing modes are clumsy and time consuming","note organization and viewing modes are clumsy and time consuming","0","0","0","0","1","0","0","0","0","0"
"BlackNote Notepad Notes","PRODUCTIVITY","51cee5b8-c692-4e9b-ab20-aa1c2e68f59f","1","May 26, 2022","5","f_67","Love it! Let's me keep important matters secret with the lock, if nothing else is exposed in the category & the title no one knows what's in there.","Let's me keep important matters secret with the lock, if nothing else is exposed in the category & the title no one knows what's in there.","0","1","0","0","0","0","0","0","0","0"
"Instagram","SOCIAL","4610fda5-2cb1-4977-bf78-bb5e0f2a1eb1","0","Sep 14, 2022","5","f_239","Wonderfull App for social networking","Wonderfull App for social networking","1","0","0","0","0","0","0","0","0","0"
"Todoist: to-do list & planner","PRODUCTIVITY","db867503-f32e-497a-b31c-bfaeb3dba9e4","1","Dec 16, 2021","1","f_247","Mandatory account? For a checklist? Please.","For a checklist?","0","0","0","0","0","0","0","0","0","0"
"Messages","COMMUNICATION","cd5d2c0b-ec6c-49fb-9ce8-0717cb8ed8f3","1","Sep 14, 2022","3","f_120","The last couple of days the app hasn't let me receive messages from some of my contacts. It's really starting to effect some of my relationships considering that my work contacts me a lot through text messaging","It's really starting to effect some of my relationships considering that my work contacts me a lot through text messaging","0","0","0","0","1","0","0","0","0","0"
"Messages","COMMUNICATION","e8964209-747e-4bd7-80de-30ea9ec4079e","0","Sep 14, 2022","1","f_174","I am unable to use the Chat feature","I am unable to use the Chat feature","0","0","0","0","1","0","0","0","0","0"
"Remind Me - Notif Reminder","PRODUCTIVITY","4607f603-8960-466f-9838-32b0078942f6","3","Feb 14, 2022","5","f_502","Very useful for those things that pop into your head that you want to keep track of. I've added the Remind Me button to the Quick Panel on my Samsung phone. This means I can just pull the panel down, hit the Remind Me button and quickly enter what I need to be reminded of. I like that the quick button lets you choose the persistent option, but it would be good to be able to also add priority and date & time if required. Very simple which I like.","I like that the quick button lets you choose the persistent option, but it would be good to be able to also add priority and date & time if required.","1","0","0","0","0","0","0","1","0","0"
"Facebook Lite","SOCIAL","e19b85da-a542-4e75-a9fa-bd4a46214803","0","Sep 12, 2022","1","f_331","I am using Facebook lite but i have a problem in facebook my new account has not logging logging error problem show i am open my pc and try facebook login facebook pc login. Fix tha problem on Android","I am using Facebook lite but i have a problem in facebook my new account has not logging logging error problem show i am open my pc and try facebook login facebook pc login.","0","0","0","0","1","0","0","0","0","0"
"Just Reminder with Alarm","PRODUCTIVITY","942dc6b7-4578-4f3c-8b25-35ca656b73dd","0","Jun 27, 2022","5","f_60","Great easy to use app, and notification screen is simple to use","Great easy to use app, and notification screen is simple to use","1","0","0","0","0","0","0","0","0","0"
"Always On AMOLED","PERSONALIZATION","5e5d47f0-df59-4209-974b-d6fe49439e9f","0","Jul 04, 2021","4","f_60","The notification icons are getting the text color regardless of selecting the app color option in the settings. Please fix this","The notification icons are getting the text color regardless of selecting the app color option in the settings.","0","0","0","0","1","0","0","0","0","0"
"Clock","TOOLS","cbea2259-746b-4dab-9509-c71f3e1a0611","0","Jul 25, 2022","1","f_236","Add Analog option for Miui 13 based on Android 12 Can not add analog clock widget...it does not show in widget menu... only digital and stacked option are available...","Add Analog option for Miui 13 based on Android 12 Can not add analog clock widget...it does not show in widget menu... only digital and stacked option are available...","0","0","0","0","1","0","0","1","0","0"
"Google Earth","TRAVEL_AND_LOCAL","aef374cd-26b4-4ca3-8f38-9c7122ba1c5c","0","Sep 09, 2022","5","f_499","Thank u for viewing rating favorite apppp","Thank u for viewing rating favorite apppp","1","0","0","0","0","0","0","0","0","0"
"Steam Chat","COMMUNICATION","3875267f-cceb-476e-9fd6-e04fcb5b49e3","1","Jan 03, 2022","2","f_85","Has no basic Android built in sharing option between this app and another app. You can't share videos, just pictures downloaded on your device. Videos posted on chats do not have sound, full screen does not work. For an app focused for social features and messaging it has barely anything here.","You can't share videos, just pictures downloaded on your device.","0","0","0","0","1","0","0","0","0","0"
"ColorNote Notepad Notes","PRODUCTIVITY","ac46de1d-53f8-4636-9b0f-0541ea4f11c4","1","Aug 20, 2022","5","f_82","It's very convenient to use. The advantage of being able to read and remember what you have to read offline is cool. It's cute. Also, it can use all the links. If it can separate changing font size and color type, better than now I think. It would be great. Anyway, thanks developer thanks.","The advantage of being able to read and remember what you have to read offline is cool.","1","0","0","0","0","0","0","0","0","0"
"Prioritize Me! - Goals & Todos","PRODUCTIVITY","57b9612b-23f5-4f07-a063-d125758ff675","0","Jun 17, 2018","5","f_502","The impact of a simple ToDo rearranged on demand by simple comparison of 
each task to others, by choosing which is more important is amazing; 
awaiting an adon to drag and drop to further fine tune the priorities and 
maybe freeze 4 safety?","The impact of a simple ToDo rearranged on demand by simple comparison of 
each task to others, by choosing which is more important is amazing; 
awaiting an adon to drag and drop to further fine tune the priorities and 
maybe freeze 4 safety?","0","0","0","0","0","0","0","1","0","0"
