Emotion,Accuracy,Precision,Recall,F1
Joy,0.7931654676258992,0.7088235294117647,0.6478494623655914,0.6769662921348315
Sadness,0.8714028776978417,0.8007518796992481,0.7029702970297029,0.7486818980667839
Anticipation,0.9379496402877698,0.7868020304568528,0.8516483516483516,0.8179419525065963
Trust,0.9010791366906474,0.6909090909090909,0.5,0.5801526717557252
Neutral,0.8983812949640287,0.4,0.5681818181818182,0.4694835680751174
Surprise,0.9388489208633094,0.23076923076923078,0.1111111111111111,0.15
Disgust,0.9379496402877698,0.3582089552238806,0.48,0.41025641025641024
Anger,0.9748201438848921,0.4782608695652174,0.4074074074074074,0.44
Fear,0.9703237410071942,0.30434782608695654,0.2916666666666667,0.2978723404255319
Reject,0.9919064748201439,0.8095238095238095,0.7727272727272727,0.7906976744186046
Weighted Average,0.9215827338129496,0.5568397221646051,0.5333562387137922,0.53820528076396
Non-weighted Average,0.9215827338129496,0.8100035031173033,0.7937604892423382,0.8015687476343709
