"app_name","categoryId","reviewId","sentenceId","at","score","feature","review","sentence","Joy","Trust","Fear","Surprise","Sadness","Disgust","Anger","Anticipation","Neutral","Reject"
"GNotes - Note, Notepad & Memo","PRODUCTIVITY","ab62a621-f50a-419e-891f-ab0858a492b5","0","Sep 06, 2022","5","f_40","Wonderful notetaking app, I wish they added more features","Wonderful notetaking app, I wish they added more features","1","0","0","0","0","0","0","0","0","0"
"Clock","TOOLS","abb3a587-f158-480f-a789-751e13160216","0","Jun 28, 2022","2","f_237","Alarm doesn't sound even though it should. Timer beeps, but set alarms go silent.","Alarm doesn't sound even though it should.","0","0","0","1","1","0","0","0","0","0"
"Pomodoro Timer","PRODUCTIVITY","e9c4a5a1-a2b5-4448-b506-98ac4fb6f567","2","Jul 24, 2022","5","f_140","Just what I needed. A reliable timer and nothing else. Great way of tracking my workflow and project timeline","Great way of tracking my workflow and project timeline","0","0","0","0","0","0","0","0","0","0"
"Google Tasks","PRODUCTIVITY","dbf60e06-afe8-4426-a5ae-d6ed725a7256","1","Sep 15, 2022","5","f_94","Simple UI that provides exactly what you need. Excellent Task management I use almost daily.","Excellent Task management I use almost daily.","0","1","0","0","0","0","0","0","0","0"
"Notebook - Notes,To-do,Journal","PRODUCTIVITY","6920aae0-4c6e-411e-a36d-4cfd52e13394","1","Jul 18, 2022","5","f_42","This app is powerful. Suitable for note organization. Great work I must say.","Suitable for note organization.","1","0","0","0","0","0","0","0","0","0"
"Weather data & microclimate :","WEATHER","3c18ada5-7ce0-429c-a076-54027d4c132b","1","Aug 19, 2022","1","f_472","Something bad happened. Radar is beyond inconsistent. Every time I activate the radar it gives me a random time frame. Sometimes it's only the last 5 minute, sometimes it's from the beginning of the day in 4 hour increments.","Radar is beyond inconsistent.","0","0","0","0","1","0","0","0","0","0"
"Make-A-List","PRODUCTIVITY","2b6c4ad2-2d28-451f-85cc-078d6e4a9267","3","Sep 05, 2022","5","f_121","I'm a minimalist. Suits me well using the free version. Ads are discreetly laid out at the bottom screen and are not bothersome. Maybe a simple calendar feature for scheduling meetings and appointments would help.","Maybe a simple calendar feature for scheduling meetings and appointments would help.","0","0","0","0","0","0","0","1","0","0"
"Telegram","COMMUNICATION","4c4306b7-9b61-4c2c-96cd-d940cbe6565f","0","Sep 04, 2022","3","f_118","This app is good at messaging","This app is good at messaging","1","0","0","0","0","0","0","0","0","0"
"Step Counter - Pedometer King","HEALTH_AND_FITNESS","95def3d1-b960-47cc-8b56-620a56694761","1","Sep 11, 2022","5","f_492","This is the first pedometer I've used that I didn't have to do any conversions with. It's very easy to use and it's a great tool for my wellness routine.","It's very easy to use and it's a great tool for my wellness routine.","0","1","0","0","0","0","0","0","0","0"
"To Do Lists & Tasks - When.Do","PRODUCTIVITY","62a5b388-58c8-4a15-b2f3-cfefcdc03bb0","2","Jan 05, 2022","5","f_110","I really like this app and use it every day. The widget is great. It does a good job with recurring tasks. Here's an idea: I always thought it would be nice if you could have a tally of the daily tasks and how many are left to be done, or any visual encouragement like that. Otherwise, it's a wonderful app.","It does a good job with recurring tasks.","1","0","0","0","0","0","0","0","0","0"
"Strava: Run, Ride, Hike","HEALTH_AND_FITNESS","8b3f5c8b-0117-42a3-9a9b-7d7820ccb1b8","0","Sep 05, 2022","2","f_403","The only thing it offers different or better than Samsung health cycling or the Samsung health app is the Watts.. who cares. In the Samsung health app gives you some more information than this app does for a lot of the exercises like cycling. AND THE SAMSUNG HEALTH APP IS FREE!! NOT PAYING $69 A YEAR SORRY!! Try the Samsung health app you'll love it.. Not to mention it got rated much higher than Strava in reviews. 88 points for Samsung health only 54 for strava..","The only thing it offers different or better than Samsung health cycling or the Samsung health app is the Watts.. who cares.","0","0","0","0","1","0","0","0","0","0"
"Habit Tracker - Habit Diary","LIFESTYLE","3233fa2e-ff7f-44a4-a1cc-cc46f4815741","0","Jul 23, 2022","5","f_115","An attractive and flexibly strong Habit Tracker. The more I use it, the more I like it. Please add a widget for Google.","An attractive and flexibly strong Habit Tracker.","1","0","0","0","0","0","0","0","0","0"
"GPS Map Camera","TRAVEL_AND_LOCAL","b9bf935e-1dde-425a-bcb7-750debbea160","0","Nov 05, 2021","5","f_262","Very good app for JIO tagging in govt's tagging development works.","Very good app for JIO tagging in govt's tagging development works.","1","0","0","0","0","0","0","0","0","0"
"Google Keep - Notes and Lists","PRODUCTIVITY","f0e5c6b8-8123-4c0d-9471-4dc2fb7f3d08","0","Sep 01, 2022","4","f_258","Good app but please atleast add basic text formatting options like bold and italics.","Good app but please atleast add basic text formatting options like bold and italics.","1","0","0","0","0","0","0","1","0","0"
"Viber - Safe Chats And Calls","COMMUNICATION","7ab074a5-ddb2-4f46-ab75-0fb1b58a5e0e","0","Sep 12, 2022","5","f_310","VIBER IS EXCELLENT IN ENCRYPTED COMMUNICATION","VIBER IS EXCELLENT IN ENCRYPTED COMMUNICATION","0","0","0","0","0","0","0","0","0","0"
"BlackNote Notepad Notes","PRODUCTIVITY","ad0c5f69-de1a-48ce-8bdc-b988508cb25d","0","Mar 23, 2022","5","f_246","I just love this notebook.","I just love this notebook.","1","0","0","0","0","0","0","0","0","0"
"Brain Focus Productivity Timer","PRODUCTIVITY","4c4b43d2-5569-47ef-80ac-5df073dc6985","2","Jun 17, 2021","4","f_475","I'm pretty happy with this app. The only thing that I dislike about the app is that I cannot sort tasks or categories, if I drag them into the order I want, the next action within the app undoes it. On a positive note I really like that I export to Excel and analyze the data. I'm looking foward to the results once I get better at using the app throughout the day.","On a positive note I really like that I export to Excel and analyze the data.","0","1","0","0","0","0","0","0","0","0"
"True Phone Dialer & Contacts","COMMUNICATION","7ec260e8-660f-400f-bbce-4fcac1d1a01b","0","Dec 24, 2021","1","f_281","This app is missing Bluetooth support for call recording. Have to give it 1 Star until the Developers fix this issue.","This app is missing Bluetooth support for call recording.","0","0","0","0","0","0","0","1","0","0"
"Loop Habit Tracker","PRODUCTIVITY","83190a04-b2e2-4a36-a8e3-2dbc691823d1","1","Jan 19, 2022","5","f_63","A very friendly interface if this app latest update is really very amazing. If u add stopwatch feature in it. It would be really amazing.","If u add stopwatch feature in it.","0","0","0","0","0","0","0","1","0","0"
"Calendar Event Reminder","PRODUCTIVITY","c86d1b8d-64bb-4239-80a1-9152b078ce8d","5","Sep 14, 2021","1","f_237","Unreliable. Paid version, 2-4mo use. Missed alarms intermittently. I have ouble checked battery optimization on my Pixel 3, and this app and pro version are both ""Not Optimized"". Yet sometimes it doesn't go off. I missed an important early meeting and I've watched a notification popup without alarm while using my phone. Features missing: Needs keyword exclusions, longer alarm times, logs ...","I missed an important early meeting and I've watched a notification popup without alarm while using my phone.","0","0","0","0","1","0","0","0","0","0"
"SMS from Tablet & MMS Text Mes","PRODUCTIVITY","7bac485e-a84b-48cb-b119-d8e6f4268f4a","1","Dec 09, 2021","4","f_60","I've got the paid for version, and it works well. I like that a notification pops up on my PC when a text arrives. I've noticed a couple of contacts are identified by just their phone number, not their name. One of these is in my phone Contacts list, and the other isn't. I don't know why this happens or how to fix it. But otherwise no complaints.","I like that a notification pops up on my PC when a text arrives.","1","0","0","0","0","0","0","0","0","0"
"Kik — Messaging & Chat App","COMMUNICATION","741448d0-8a0a-40de-8497-321b75d9b918","0","Sep 05, 2022","1","f_220","only 6/15 meet new ppl was real the rest was chat bots.. reporting the Spam is ignored as well...","only 6/15 meet new ppl was real the rest was chat bots.. reporting the Spam is ignored as well...","0","0","1","0","0","0","0","0","0","0"
"Google Play Console","TOOLS","9a5278ca-327d-4f4a-a213-a55640d5498e","0","Nov 29, 2019","5","f_160","Please Add Real-time Database","Please Add Real-time Database","0","0","0","0","0","0","0","1","0","0"
"Codo: Shared Todo-Lists & Remi","PRODUCTIVITY","ec18b7ef-392d-4d4c-89e2-bc148bcb394a","0","Dec 01, 2021","5","f_180","Good app for team work but it should have a notification when a new assignment is assigned or task is completed.","Good app for team work but it should have a notification when a new assignment is assigned or task is completed.","1","0","0","0","0","0","0","1","0","0"
"Loop Habit Tracker","PRODUCTIVITY","601b93f6-edf9-4cf3-b03d-011ed0334311","1","Feb 21, 2022","5","f_497","Great app 👍🏻👍🏻👍🏻👍🏻👍🏻 I have a suggestion: A habit with subHabits Assume that I have to practice 6 kinds of workout in order to heal my neck injury... So, that would be greate if I could create a habit named ""neck workouts"" consist of 6 subTasks. At the end of the day, my habit will be done if all of its subhabits checked","So, that would be greate if I could create a habit named ""neck workouts"" consist of 6 subTasks.","0","0","0","0","0","0","0","1","0","0"
"GPS Running Cycling & Fitness","HEALTH_AND_FITNESS","f7be69ee-5840-46fa-a7f1-3cb01e1a96ce","2","Aug 26, 2022","5","f_403","Works very well, even out of data range. Not too power hungry. Great for kayaking, hiking or cycling.","Great for kayaking, hiking or cycling.","1","0","0","0","0","0","0","0","0","0"
